City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Taoudenni,ML,2022-11-23 22:47:56,22.6783,-3.9836,73.83,9,100,9.31
201,Leningradskiy,RU,2022-11-23 22:47:57,69.3833,178.4167,-12.89,97,100,3.0
202,Chilliwack,CA,2022-11-23 22:45:52,49.1747,-121.9443,50.11,87,91,2.3
203,Silifke,TR,2022-11-23 22:47:57,36.3778,33.9344,63.86,63,100,11.43
204,Port-Gentil,GA,2022-11-23 22:47:57,-0.7193,8.7815,80.56,89,40,8.05
205,Clyde River,CA,2022-11-23 22:47:58,70.4692,-68.5914,-3.77,71,100,2.3
206,Yulin,CN,2022-11-23 22:47:58,22.6333,110.15,68.18,93,100,4.32
207,Haselunne,DE,2022-11-23 22:47:58,52.6667,7.4833,46.0,93,100,14.36
208,Meulaboh,ID,2022-11-23 22:43:42,4.1363,96.1285,74.52,87,60,3.06
209,Sao Filipe,CV,2022-11-23 22:47:59,14.8961,-24.4956,77.92,62,87,9.44
210,Narsaq,GL,2022-11-23 22:47:59,60.9167,-46.05,43.02,67,100,11.79
211,Sabha,LY,2022-11-23 22:48:00,27.0377,14.4283,58.89,40,0,6.96
212,Nianzishan,CN,2022-11-23 22:48:00,47.5167,122.8833,10.99,78,44,2.17
213,Laguna,US,2022-11-23 22:48:01,38.421,-121.4238,71.69,39,0,5.75
214,Belmonte,BR,2022-11-23 22:48:01,-15.8631,-38.8828,75.36,86,91,6.24
215,Craigieburn,AU,2022-11-23 22:48:01,-37.6,144.95,58.78,76,75,9.22
216,Laiwu,CN,2022-11-23 22:48:02,36.1928,117.6569,46.49,88,11,3.74
217,Codrington,AU,2022-11-23 22:48:02,-38.2667,141.9667,56.1,74,81,8.39
218,Segovia,ES,2022-11-23 22:48:03,41.1667,-4.0,47.12,93,82,6.24
219,Eugene,US,2022-11-23 22:48:03,44.0521,-123.0867,57.25,85,100,6.91
220,Samana,DO,2022-11-23 22:48:04,19.2056,-69.3369,80.56,90,2,8.72
221,Asau,RO,2022-11-23 22:48:04,46.4333,26.4,33.28,95,100,3.69
222,Arraial Do Cabo,BR,2022-11-23 22:48:04,-22.9661,-42.0278,76.96,78,40,17.27
223,Saltillo,MX,2022-11-23 22:48:05,25.4167,-101.0,73.17,54,97,1.01
224,Bonavista,CA,2022-11-23 22:47:24,48.6499,-53.1147,34.09,85,100,15.43
225,Vardo,NO,2022-11-23 22:48:05,70.3705,31.1107,19.38,86,53,32.21
226,Ambovombe,MG,2022-11-23 22:48:06,-25.1667,46.0833,71.19,88,50,7.63
227,Morondava,MG,2022-11-23 22:48:06,-20.2833,44.2833,77.11,71,41,0.36
228,Havoysund,NO,2022-11-23 22:48:06,70.9963,24.6622,26.83,63,1,8.14
229,Saint George,US,2022-11-23 22:44:37,37.1041,-113.5841,58.24,23,0,4.0
230,Tazmalt,DZ,2022-11-23 22:49:07,36.3868,4.3989,62.56,72,62,4.52
231,Bengkulu,ID,2022-11-23 22:49:08,-3.8004,102.2655,74.48,89,98,4.27
232,Amos,CA,2022-11-23 22:49:08,48.5669,-78.1162,14.02,95,45,3.6
233,Chabahar,IR,2022-11-23 22:49:08,25.2919,60.643,76.17,45,91,6.15
234,Dapaong,TG,2022-11-23 22:49:09,10.8639,0.205,75.47,19,12,6.62
235,Tabou,CI,2022-11-23 22:49:09,4.423,-7.3528,78.75,85,58,6.44
236,Palauig,PH,2022-11-23 22:49:09,15.435,119.9045,81.25,74,88,4.85
237,Bilma,NE,2022-11-23 22:49:10,18.6853,12.9164,66.72,22,65,10.96
238,New Norfolk,AU,2022-11-23 22:49:10,-42.7826,147.0587,61.92,59,100,8.01
239,San Patricio,US,2022-11-23 22:49:11,28.017,-97.5169,67.87,90,96,8.39
240,Luanda,AO,2022-11-23 22:49:11,-8.8368,13.2343,78.8,83,40,6.91
241,Chapais,CA,2022-11-23 22:49:11,49.7834,-74.8492,10.18,94,19,1.34
242,Broome,US,2022-11-23 22:49:12,42.2506,-75.833,37.8,78,6,1.01
243,Aksha,RU,2022-11-23 22:49:12,50.2814,113.2867,7.2,95,99,0.94
244,Atar,MR,2022-11-23 22:49:13,20.5169,-13.0499,67.84,13,0,6.62
245,Kaoma,ZM,2022-11-23 22:49:13,-14.7833,24.8,63.84,90,100,2.89
246,Cambridge,CA,2022-11-23 22:49:13,43.3601,-80.3127,42.13,70,0,0.0
247,Novyy Svit,UA,2022-11-23 22:49:14,47.8059,38.0211,37.49,74,67,5.17
248,Iqaluit,CA,2022-11-23 22:49:14,63.7506,-68.5145,-5.31,83,20,15.01
249,Bodden Town,KY,2022-11-23 22:49:14,19.2833,-81.25,86.0,74,20,8.05
250,Along,IN,2022-11-23 22:49:15,28.1667,94.7667,52.93,71,0,1.66
251,Imbituba,BR,2022-11-23 22:49:15,-28.24,-48.6703,67.71,89,100,7.9
252,Kaseda,JP,2022-11-23 22:49:16,31.4167,130.3167,61.47,70,18,9.22
253,Alyangula,AU,2022-11-23 22:49:16,-13.8483,136.4192,87.08,57,45,2.28
254,Margate,GB,2022-11-23 22:49:16,51.3813,1.3862,50.31,80,66,5.01
255,Buraydah,SA,2022-11-23 22:49:17,26.326,43.975,66.65,35,95,10.89
256,Ostersund,SE,2022-11-23 22:49:18,63.1792,14.6357,23.61,100,100,9.22
257,Lahat,ID,2022-11-23 22:49:18,-3.8,103.5333,72.39,91,100,0.96
258,Lahaina,US,2022-11-23 22:49:18,20.8783,-156.6825,84.2,75,3,7.47
259,Vilhena,BR,2022-11-23 22:49:19,-12.7406,-60.1458,75.42,88,75,3.44
260,Rindal,NO,2022-11-23 22:49:19,63.0565,9.2124,30.18,65,24,8.1
261,Dudinka,RU,2022-11-23 22:49:20,69.4058,86.1778,-40.4,100,47,4.54
262,Sistranda,NO,2022-11-23 22:49:20,63.7256,8.834,37.36,60,4,21.94
263,Tasiilaq,GL,2022-11-23 22:49:21,65.6145,-37.6368,30.36,63,92,5.84
264,College,US,2022-11-23 22:49:21,64.8569,-147.8028,12.9,88,75,5.75
265,Abu Kamal,SY,2022-11-23 22:49:21,34.4506,40.9171,65.08,33,22,7.83
266,Nokaneng,BW,2022-11-23 22:49:22,-19.6667,22.2667,77.25,54,100,2.33
267,Wewak,PG,2022-11-23 22:49:22,-3.5534,143.6268,80.1,87,100,5.68
268,Roma,US,2022-11-23 22:49:22,43.2128,-75.4557,37.72,87,100,0.0
269,Semey,KZ,2022-11-23 22:49:23,50.4111,80.2275,0.34,97,25,4.32
270,Asosa,ET,2022-11-23 22:49:23,10.0667,34.5333,65.62,41,21,3.42
271,Arlit,NE,2022-11-23 22:49:24,18.7369,7.3853,69.67,16,63,8.81
272,Marawi,PH,2022-11-23 22:49:24,7.9986,124.2928,71.35,88,72,1.54
273,Whitehorse,CA,2022-11-23 22:49:20,60.7161,-135.0538,30.97,86,100,5.75
274,Las Vegas,US,2022-11-23 22:47:18,36.175,-115.1372,72.28,13,0,20.71
275,Yumen,CN,2022-11-23 22:49:25,40.2833,97.2,34.59,34,46,18.28
276,Nuuk,GL,2022-11-23 22:49:25,64.1835,-51.7216,25.41,86,40,13.8
277,Macusani,PE,2022-11-23 22:49:26,-14.0833,-70.4333,38.89,81,89,6.44
278,Cap Malheureux,MU,2022-11-23 22:49:26,-19.9842,57.6142,76.46,72,0,5.01
279,Havre-Saint-Pierre,CA,2022-11-23 22:50:26,50.2334,-63.5986,21.2,62,0,14.97
280,Jiayuguan,CN,2022-11-23 22:50:27,39.8167,98.3,30.67,39,66,1.66
281,Ornskoldsvik,SE,2022-11-23 22:50:27,63.2909,18.7153,22.15,100,100,5.75
282,Eureka,US,2022-11-23 22:47:40,40.8021,-124.1637,60.21,81,41,4.0
283,Gat,IL,2022-11-23 22:48:03,31.61,34.7642,69.4,100,0,3.65
